2019-04-02 13:31:25 startup archives unpack
2019-04-02 13:31:32 install sgml-base:all <none> 1.29
2019-04-02 13:31:32 status half-installed sgml-base:all 1.29
2019-04-02 13:31:32 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2019-04-02 13:31:33 status unpacked sgml-base:all 1.29
2019-04-02 13:31:33 status unpacked sgml-base:all 1.29
2019-04-02 13:31:34 install cmake-data:all <none> 3.10.2-1ubuntu2
2019-04-02 13:31:34 status half-installed cmake-data:all 3.10.2-1ubuntu2
2019-04-02 13:31:38 status unpacked cmake-data:all 3.10.2-1ubuntu2
2019-04-02 13:31:38 status unpacked cmake-data:all 3.10.2-1ubuntu2
2019-04-02 13:31:38 install libjsoncpp1:amd64 <none> 1.7.4-3
2019-04-02 13:31:39 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2019-04-02 13:31:39 status half-installed libjsoncpp1:amd64 1.7.4-3
2019-04-02 13:31:39 status unpacked libjsoncpp1:amd64 1.7.4-3
2019-04-02 13:31:39 status unpacked libjsoncpp1:amd64 1.7.4-3
2019-04-02 13:31:40 install librhash0:amd64 <none> 1.3.6-2
2019-04-02 13:31:40 status half-installed librhash0:amd64 1.3.6-2
2019-04-02 13:31:40 status unpacked librhash0:amd64 1.3.6-2
2019-04-02 13:31:41 status unpacked librhash0:amd64 1.3.6-2
2019-04-02 13:31:42 install libuv1:amd64 <none> 1.18.0-3
2019-04-02 13:31:42 status half-installed libuv1:amd64 1.18.0-3
2019-04-02 13:31:43 status unpacked libuv1:amd64 1.18.0-3
2019-04-02 13:31:43 status unpacked libuv1:amd64 1.18.0-3
2019-04-02 13:31:44 install cmake:amd64 <none> 3.10.2-1ubuntu2
2019-04-02 13:31:44 status half-installed cmake:amd64 3.10.2-1ubuntu2
2019-04-02 13:31:45 status unpacked cmake:amd64 3.10.2-1ubuntu2
2019-04-02 13:31:45 status unpacked cmake:amd64 3.10.2-1ubuntu2
2019-04-02 13:31:45 install zlib1g-dev:amd64 <none> 1:1.2.11.dfsg-0ubuntu2
2019-04-02 13:31:45 status half-installed zlib1g-dev:amd64 1:1.2.11.dfsg-0ubuntu2
2019-04-02 13:31:46 status unpacked zlib1g-dev:amd64 1:1.2.11.dfsg-0ubuntu2
2019-04-02 13:31:46 status unpacked zlib1g-dev:amd64 1:1.2.11.dfsg-0ubuntu2
2019-04-02 13:31:46 install libmysqlclient-dev:amd64 <none> 5.7.25-0ubuntu0.18.04.2
2019-04-02 13:31:46 status half-installed libmysqlclient-dev:amd64 5.7.25-0ubuntu0.18.04.2
2019-04-02 13:31:48 status unpacked libmysqlclient-dev:amd64 5.7.25-0ubuntu0.18.04.2
2019-04-02 13:31:48 status unpacked libmysqlclient-dev:amd64 5.7.25-0ubuntu0.18.04.2
2019-04-02 13:31:49 install default-libmysqlclient-dev:amd64 <none> 1.0.4
2019-04-02 13:31:49 status half-installed default-libmysqlclient-dev:amd64 1.0.4
2019-04-02 13:31:49 status unpacked default-libmysqlclient-dev:amd64 1.0.4
2019-04-02 13:31:49 status unpacked default-libmysqlclient-dev:amd64 1.0.4
2019-04-02 13:31:50 install xml-core:all <none> 0.18
2019-04-02 13:31:50 status half-installed xml-core:all 0.18
2019-04-02 13:31:51 status unpacked xml-core:all 0.18
2019-04-02 13:31:51 status unpacked xml-core:all 0.18
2019-04-02 13:31:52 install docutils-common:all <none> 0.14+dfsg-3
2019-04-02 13:31:52 status half-installed docutils-common:all 0.14+dfsg-3
2019-04-02 13:31:52 status triggers-pending shared-mime-info:amd64 1.9-2
2019-04-02 13:31:53 status unpacked docutils-common:all 0.14+dfsg-3
2019-04-02 13:31:53 status unpacked docutils-common:all 0.14+dfsg-3
2019-04-02 13:31:54 install docutils-doc:all <none> 0.14+dfsg-3
2019-04-02 13:31:54 status half-installed docutils-doc:all 0.14+dfsg-3
2019-04-02 13:31:55 status unpacked docutils-doc:all 0.14+dfsg-3
2019-04-02 13:31:55 status unpacked docutils-doc:all 0.14+dfsg-3
2019-04-02 13:31:55 install gir1.2-harfbuzz-0.0:amd64 <none> 1.7.2-1ubuntu1
2019-04-02 13:31:55 status half-installed gir1.2-harfbuzz-0.0:amd64 1.7.2-1ubuntu1
2019-04-02 13:31:56 status unpacked gir1.2-harfbuzz-0.0:amd64 1.7.2-1ubuntu1
2019-04-02 13:31:56 status unpacked gir1.2-harfbuzz-0.0:amd64 1.7.2-1ubuntu1
2019-04-02 13:31:56 install googletest:amd64 <none> 1.8.0-6
2019-04-02 13:31:56 status half-installed googletest:amd64 1.8.0-6
2019-04-02 13:31:58 status unpacked googletest:amd64 1.8.0-6
2019-04-02 13:31:58 status unpacked googletest:amd64 1.8.0-6
2019-04-02 13:31:59 install libnl-route-3-200:amd64 <none> 3.2.29-0ubuntu3
2019-04-02 13:31:59 status half-installed libnl-route-3-200:amd64 3.2.29-0ubuntu3
2019-04-02 13:31:59 status unpacked libnl-route-3-200:amd64 3.2.29-0ubuntu3
2019-04-02 13:31:59 status unpacked libnl-route-3-200:amd64 3.2.29-0ubuntu3
2019-04-02 13:32:00 install libibverbs1:amd64 <none> 17.1-1ubuntu0.1
2019-04-02 13:32:00 status half-installed libibverbs1:amd64 17.1-1ubuntu0.1
2019-04-02 13:32:01 status unpacked libibverbs1:amd64 17.1-1ubuntu0.1
2019-04-02 13:32:01 status unpacked libibverbs1:amd64 17.1-1ubuntu0.1
2019-04-02 13:32:02 install ibverbs-providers:amd64 <none> 17.1-1ubuntu0.1
2019-04-02 13:32:02 status half-installed ibverbs-providers:amd64 17.1-1ubuntu0.1
2019-04-02 13:32:04 status unpacked ibverbs-providers:amd64 17.1-1ubuntu0.1
2019-04-02 13:32:04 status unpacked ibverbs-providers:amd64 17.1-1ubuntu0.1
2019-04-02 13:32:06 install icu-devtools:amd64 <none> 60.2-3ubuntu3
2019-04-02 13:32:06 status half-installed icu-devtools:amd64 60.2-3ubuntu3
2019-04-02 13:32:08 status unpacked icu-devtools:amd64 60.2-3ubuntu3
2019-04-02 13:32:08 status unpacked icu-devtools:amd64 60.2-3ubuntu3
2019-04-02 13:32:09 install libaacs0:amd64 <none> 0.9.0-1
2019-04-02 13:32:09 status half-installed libaacs0:amd64 0.9.0-1
2019-04-02 13:32:09 status unpacked libaacs0:amd64 0.9.0-1
2019-04-02 13:32:09 status unpacked libaacs0:amd64 0.9.0-1
2019-04-02 13:32:09 install uuid-dev:amd64 <none> 2.31.1-0.4ubuntu3.3
2019-04-02 13:32:09 status half-installed uuid-dev:amd64 2.31.1-0.4ubuntu3.3
2019-04-02 13:32:11 status unpacked uuid-dev:amd64 2.31.1-0.4ubuntu3.3
2019-04-02 13:32:12 status unpacked uuid-dev:amd64 2.31.1-0.4ubuntu3.3
2019-04-02 13:32:12 install libsctp1:amd64 <none> 1.0.17+dfsg-2
2019-04-02 13:32:12 status half-installed libsctp1:amd64 1.0.17+dfsg-2
2019-04-02 13:32:13 status unpacked libsctp1:amd64 1.0.17+dfsg-2
2019-04-02 13:32:13 status unpacked libsctp1:amd64 1.0.17+dfsg-2
2019-04-02 13:32:13 install libsctp-dev:amd64 <none> 1.0.17+dfsg-2
2019-04-02 13:32:13 status half-installed libsctp-dev:amd64 1.0.17+dfsg-2
2019-04-02 13:32:14 status unpacked libsctp-dev:amd64 1.0.17+dfsg-2
2019-04-02 13:32:14 status unpacked libsctp-dev:amd64 1.0.17+dfsg-2
2019-04-02 13:32:15 install libapr1-dev:amd64 <none> 1.6.3-2
2019-04-02 13:32:15 status half-installed libapr1-dev:amd64 1.6.3-2
2019-04-02 13:32:18 status unpacked libapr1-dev:amd64 1.6.3-2
2019-04-02 13:32:18 status unpacked libapr1-dev:amd64 1.6.3-2
2019-04-02 13:32:18 install libldap2-dev:amd64 <none> 2.4.45+dfsg-1ubuntu1.1
2019-04-02 13:32:18 status half-installed libldap2-dev:amd64 2.4.45+dfsg-1ubuntu1.1
2019-04-02 13:32:19 status unpacked libldap2-dev:amd64 2.4.45+dfsg-1ubuntu1.1
2019-04-02 13:32:20 status unpacked libldap2-dev:amd64 2.4.45+dfsg-1ubuntu1.1
2019-04-02 13:32:20 install libexpat1-dev:amd64 <none> 2.2.5-3
